Title,Platforms,Date,Developers
NBA 2K18,Microsoft Windows,"September 19, 2017",Visual Concepts / Visual Concepts
NBA 2K18,Nintendo Switch,"September 19, 2017",Visual Concepts / Visual Concepts
NBA 2K18,PlayStation 3,"September 19, 2017",Virtuos / Visual Concepts
NBA 2K18,PlayStation 4,"September 19, 2017",Visual Concepts / Visual Concepts Orange County
NBA 2K18,Xbox 360,"September 19, 2017",Virtuos / Visual Concepts
NBA 2K18,Xbox One,"September 19, 2017",Visual Concepts / Visual Concepts Orange County
NBA 2K18: The Prelude,PlayStation 4,"September 8, 2017",Visual Concepts
NBA 2K18: The Prelude,Xbox One,"September 8, 2017",Visual Concepts
MyNBA 2K18,Android,"September 7, 2017",Cat Daddy Games
MyNBA 2K18,iOS,"September 7, 2017",Cat Daddy Games
BioShock Remastered,macOS,"August 22, 2017",Feral Interactive
Battleborn: Free Trial,Microsoft Windows,"June 6, 2017",Gearbox Software
Battleborn: Free Trial,PlayStation 4,"June 6, 2017",Gearbox Software
Battleborn: Free Trial,Xbox One,"June 6, 2017",Gearbox Software
Mafia III,macOS,"May 11, 2017",Aspyr
Sid Meier's Civilization Revolution,Xbox One Backwards Compatible,"April 4, 2017",Firaxis Games / 2K China
Borderlands 2,Xbox One Backwards Compatible,"February 23, 2017",Gearbox Software
Sid Meier's Civilization VI,Linux,"February 9, 2017",Aspyr
WWE 2K17,Microsoft Windows,"February 7, 2017",Yuke's / Visual Concepts
BioShock,Xbox One Backwards Compatible,"December 13, 2016",2K Boston / 2K Australia
BioShock 2,Xbox One Backwards Compatible,"December 13, 2016",2K Marin / 2K Australia / 2K China / Digital Extremes
BioShock Infinite,Xbox One Backwards Compatible,"December 13, 2016",Irrational Games / 2K Australia
Carnival Games VR,Oculus Rift,"December 6, 2016",Cat Daddy Games / Wahoo Studios
NBA 2KVR Experience,HTC Vive,"November 22, 2016",Specular Interactive / Visual Concepts
NBA 2KVR Experience,Oculus Rift,"November 22, 2016",Specular Interactive / Visual Concepts
NBA 2KVR Experience,PlayStation VR,"November 22, 2016",Specular Interactive / Visual Concepts
NBA 2KVR Experience,Samsung Gear VR,"November 22, 2016",Specular Interactive / Visual Concepts
WWE SuperCard – Season 3,Android,"November 16, 2016",Cat Daddy Games
WWE SuperCard – Season 3,Fire OS,"November 16, 2016",Cat Daddy Games
WWE SuperCard – Season 3,iOS,"November 16, 2016",Cat Daddy Games
Carnival Games VR,HTC Vive,"October 28, 2016",Cat Daddy Games / Wahoo Studios
Carnival Games VR,PlayStation VR,"October 28, 2016",Cat Daddy Games / Wahoo Studios
Sid Meier's Civilization VI,macOS,"October 24, 2016",Aspyr
Sid Meier's Civilization VI,Microsoft Windows,"October 21, 2016",Firaxis Games
NHL SuperCard 2K17,Android,"October 13, 2016",Koolhaus Games / Cat Daddy Games
NHL SuperCard 2K17,Fire OS,"October 13, 2016",Koolhaus Games / Cat Daddy Games
NHL SuperCard 2K17,iOS,"October 13, 2016",Koolhaus Games / Cat Daddy Games
WWE 2K17,PlayStation 3,"October 11, 2016",Yuke's / Visual Concepts
WWE 2K17,PlayStation 4,"October 11, 2016",Yuke's / Visual Concepts
