Title,Platforms,Date,Developers
Assassin's Creed Origins,Xbox One,"October 27, 2017","Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Chengdu, Ubisoft Kyiv, Ubisoft Montpellier, Ubisoft Quebec, Ubisoft Philippines, Ubisoft Shanghai, Ubisoft Singapore, Ubisoft Sofia"
Just Dance 2018,Nintendo Switch,"October 24, 2017","Ubisoft Paris, Ubisoft Bucharest, Ubisoft Montreal, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2018,PlayStation 3,"October 24, 2017","Ubisoft Paris, Ubisoft Bucharest, Ubisoft Montreal, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2018,PlayStation 4,"October 24, 2017","Ubisoft Paris, Ubisoft Bucharest, Ubisoft Montreal, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2018,Wii,"October 24, 2017","Ubisoft Paris, Ubisoft Bucharest, Ubisoft Montreal, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2018,Wii U,"October 24, 2017","Ubisoft Paris, Ubisoft Bucharest, Ubisoft Montreal, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2018,Xbox 360,"October 24, 2017","Ubisoft Paris, Ubisoft Bucharest, Ubisoft Montreal, Ubisoft Pune, Ubisoft Shanghai"
Just Dance 2018,Xbox One,"October 24, 2017","Ubisoft Paris, Ubisoft Bucharest, Ubisoft Montreal, Ubisoft Pune, Ubisoft Shanghai"
South Park: The Fractured But Whole,Microsoft Windows,"October 17, 2017","Ubisoft San Francisco, South Park Digital Studios, Massive Entertainment, Ubisoft Blue Byte, Ubisoft Osaka, Ubisoft Reflections"
South Park: The Fractured But Whole,PlayStation 4,"October 17, 2017","Ubisoft San Francisco, South Park Digital Studios, Massive Entertainment, Ubisoft Blue Byte, Ubisoft Osaka, Ubisoft Reflections"
South Park: The Fractured But Whole,Xbox One,"October 17, 2017","Ubisoft San Francisco, South Park Digital Studios, Massive Entertainment, Ubisoft Blue Byte, Ubisoft Osaka, Ubisoft Reflections"
Hungry Shark: World,TvOS,"September 28, 2017",Future Games of London
Atomega,Microsoft Windows,"September 19, 2017",Ubisoft Reflections
Rayman Legends: Definitive Edition,Nintendo Switch,"September 17, 2017",Ubisoft Montpellier
Monopoly Plus,Microsoft Windows,"September 7, 2017",Ubisoft Pune
Mario + Rabbids Kingdom Battle,Nintendo Switch,"August 29, 2017","Ubisoft Milan, Ubisoft Paris, Ubisoft Montpellier"
Star Trek: Bridge Crew,Microsoft Windows,"May 30, 2017","Red Storm Entertainment, Ubisoft Barcelona"
Star Trek: Bridge Crew,PlayStation 4,"May 30, 2017","Red Storm Entertainment, Ubisoft Barcelona"
TrackMania 2: Lagoon,Microsoft Windows,"May 23, 2017",Nadeo
Tom Clancy's Ghost Recon Wildlands,Microsoft Windows,"March 7, 2017","Ubisoft Paris, Ubisoft Milan, Ubisoft Annecy, Ubisoft Belgrade, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Reflections"
Tom Clancy's Ghost Recon Wildlands,PlayStation 4,"March 7, 2017","Ubisoft Paris, Ubisoft Milan, Ubisoft Annecy, Ubisoft Belgrade, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Reflections"
Tom Clancy's Ghost Recon Wildlands,Xbox One,"March 7, 2017","Ubisoft Paris, Ubisoft Milan, Ubisoft Annecy, Ubisoft Belgrade, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Reflections"
Just Dance 2017,Nintendo Switch,"March 3, 2017","Ubisoft Paris, Ubisoft Pune"
For Honor,Microsoft Windows,"February 14, 2017","Ubisoft Montreal, Studio Gobo, Ubisoft Blue Byte, Ubisoft Quebec"
For Honor,PlayStation 4,"February 14, 2017","Ubisoft Montreal, Studio Gobo, Ubisoft Blue Byte, Ubisoft Quebec"
For Honor,Xbox One,"February 14, 2017","Ubisoft Montreal, Studio Gobo, Ubisoft Blue Byte, Ubisoft Quebec"
City of Love: Paris,Android,"January 18, 2017",Ubisoft Paris Mobile
City of Love: Paris,iOS,"January 18, 2017",Ubisoft Paris Mobile
Uno,Microsoft Windows,"January 3, 2017",Ubisoft Chengdu
Werewolves Within,Microsoft Windows,"December 6, 2016",Red Storm Entertainment
Werewolves Within,PlayStation 4,"December 6, 2016",Red Storm Entertainment
Steep,Microsoft Windows,"December 2, 2016","Ubisoft Annecy, Ubisoft Kyiv, Ubisoft Montpellier, Ubisoft Sofia"
Steep,PlayStation 4,"December 2, 2016","Ubisoft Annecy, Ubisoft Kyiv, Ubisoft Montpellier, Ubisoft Sofia"
Steep,Xbox One,"December 2, 2016","Ubisoft Annecy, Ubisoft Kyiv, Ubisoft Montpellier, Ubisoft Sofia"
Assassin's Creed: The Ezio Collection,PlayStation 4,"November 15, 2016",Virtuos
Assassin's Creed: The Ezio Collection,Xbox One,"November 15, 2016",Virtuos
Watch Dogs 2,Microsoft Windows,"November 15, 2016","Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Kyiv, Ubisoft Paris, Ubisoft Reflections, Ubisoft Toronto"
Watch Dogs 2,PlayStation 4,"November 15, 2016","Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Kyiv, Ubisoft Paris, Ubisoft Reflections, Ubisoft Toronto"
Watch Dogs 2,Xbox One,"November 15, 2016","Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Kyiv, Ubisoft Paris, Ubisoft Reflections, Ubisoft Toronto"
Eagle Flight,PlayStation 4,"November 8, 2016",Ubisoft Montreal
Just Dance 2017,Microsoft Windows,"October 25, 2016","Ubisoft Paris, Ubisoft Pune"
Just Dance 2017,PlayStation 3,"October 25, 2016","Ubisoft Paris, Ubisoft Pune"
Just Dance 2017,PlayStation 4,"October 25, 2016","Ubisoft Paris, Ubisoft Pune"
Just Dance 2017,Wii,"October 25, 2016","Ubisoft Paris, Ubisoft Pune"
Just Dance 2017,Wii U,"October 25, 2016","Ubisoft Paris, Ubisoft Pune"
Just Dance 2017,Xbox 360,"October 25, 2016","Ubisoft Paris, Ubisoft Pune"
Just Dance 2017,Xbox One,"October 25, 2016","Ubisoft Paris, Ubisoft Pune"
Eagle Flight,Microsoft Windows,"October 18, 2016",Ubisoft Montreal
Hungry Shark: World,Android,"October 16, 2016",Future Games of London
Rocksmith: All-new 2014 Edition - Remastered,Mac OS,"October 4, 2016","Ubisoft San Francisco, Red Storm Entertainment, Longtail Studios"
