,Publisher,Ticker,Title,Date,Platforms,Developers
4,2K Games,TTWO,BioShock 2,"2016, 12, 13",Xbox One Backwards Compatible,2K Marin / 2K Australia / 2K China / Digital Extremes
5,2K Games,TTWO,BioShock 2 Remastered,"2020, 10, 22","macOS, Microsoft Windows",Feral Interactive
6,2K Games,TTWO,BioShock Infinite,"2016, 12, 13","Xbox One Backwards Compatible, Linux",Irrational Games / 2K Australia
7,2K Games,TTWO,BioShock Remastered,"2017, 8, 22","macOS, Microsoft Windows",Feral Interactive
8,2K Games,TTWO,BioShock: The Collection,"2020, 5, 29","Nintendo Switch, PlayStation 4, Xbox One",Virtuos
9,2K Games,TTWO,Borderlands,"2015, 9, 3",Xbox One Backwards Compatible,Gearbox Software
10,2K Games,TTWO,Borderlands 2,"2017, 2, 23","Xbox One Backwards Compatible, Android, Nvidia Shield Tablet, Linux, PlayStation Vita",Gearbox Software
13,2K Games,TTWO,Borderlands 3,"2020, 11, 12","PlayStation 5, Xbox Series X/S, Stadia, macOS, Microsoft Windows, PlayStation 4, Xbox One",Gearbox Software / Gearbox Studio Québec
17,2K Games,TTWO,Borderlands: The Handsome Collection,"2015, 3, 24","PlayStation 4, Xbox One",Armature Studio / Iron Galaxy Studios
19,2K Games,TTWO,Borderlands: The Pre-Sequel!,"2016, 3, 31","Android, Nvidia Shield Tablet, Linux, macOS, Microsoft Windows, PlayStation 3, Xbox 360",Gearbox Software
23,2K Games,TTWO,Duke Nukem Forever,"2018, 12, 5",Xbox One Backwards Compatible,Gearbox Software / Triptych Games / Piranha Games / 3D Realms
24,2K Games,TTWO,Evolve,"2015, 2, 10","Microsoft Windows, PlayStation 4, Xbox One",Turtle Rock Studios / Agora Games / Blind Squirrel Games / Crytek / IllFonic / Mass Media Games
25,2K Games,TTWO,Evolve Stage 2,"2016, 7, 7",Microsoft Windows,Turtle Rock Studios
27,2K Games,TTWO,Mafia II,"2018, 2, 15",Xbox One Backwards Compatible,2K Czech
29,2K Games,TTWO,Mafia III,"2017, 5, 11","macOS, Microsoft Windows, PlayStation 4, Xbox One",Aspyr
32,2K Games,TTWO,NBA 2K16,"2015, 10, 14","Android, iOS, Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Visual Concepts China
33,2K Games,TTWO,NBA 2K17,"2016, 9, 22","Android, iOS, Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Visual Concepts China
35,2K Games,TTWO,NBA 2K18,"2017, 12, 15","Android, iOS, Microsoft Windows, Nintendo Switch, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Visual Concepts China / Visual Concepts South Korea
37,2K Games,TTWO,NBA 2K19,"2018, 10, 17","Android, iOS, Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One",Visual Concepts China / Visual Concepts South Korea
39,2K Games,TTWO,NBA 2K20,"2019, 11, 19","Stadia, Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One, Android, iOS",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
41,2K Games,TTWO,NBA 2K21,"2020, 11, 12","PlayStation 5, Xbox Series X/S, Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One, Stadia",Visual Concepts / Visual Concepts Budapest / Visual Concepts Orange County
43,2K Games,TTWO,PGA Tour 2K21,"2020, 8, 21","Microsoft Windows, Nintendo Switch, PlayStation 4, Xbox One, Stadia",HB Studios
44,2K Games,TTWO,Prey,"2018, 2, 15",Xbox One Backwards Compatible,Venom Games
45,2K Games,TTWO,Sid Meier's Civilization Online,"2015, 12, 2",Microsoft Windows,XL Games
48,2K Games,TTWO,Sid Meier's Civilization VI,"2020, 8, 13","Android, PlayStation 4, Xbox One, Nintendo Switch, iOS, Linux, macOS, Microsoft Windows",Aspyr
53,2K Games,TTWO,The Bureau: XCOM Declassified,"2018, 12, 5","Xbox One Backwards Compatible, macOS",2K Marin / 2K Australia / 2K China
59,2K Games,TTWO,WWE 2K15,"2015, 4, 28","Microsoft Windows, PlayStation 4, Xbox One, PlayStation 3, Xbox 360",QLOC
60,2K Games,TTWO,WWE 2K16,"2016, 3, 11","Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",QLOC
61,2K Games,TTWO,WWE 2K17,"2017, 2, 7","Microsoft Windows, PlayStation 3, PlayStation 4, Xbox 360, Xbox One",Yuke's / Visual Concepts
62,2K Games,TTWO,WWE 2K18,"2017, 12, 6","Nintendo Switch, Microsoft Windows, PlayStation 4, Xbox One",Blind Squirrel Games
63,2K Games,TTWO,WWE 2K19,"2018, 10, 9","Microsoft Windows, PlayStation 4, Xbox One",Yuke's / Visual Concepts
64,2K Games,TTWO,WWE 2K20,"2019, 10, 22","Microsoft Windows, PlayStation 4, Xbox One",Visual Concepts / HB Studios / Saber Interactive
65,2K Games,TTWO,XCOM 2,"2016, 9, 27","PlayStation 4, Xbox One, Linux, macOS, Microsoft Windows",Firaxis Games / Blind Squirrel Games
68,2K Games,TTWO,XCOM: Enemy Unknown,"2016, 5, 24","Xbox One Backwards Compatible, Linux, Android",Firaxis Games / 2K China / Blind Squirrel Games
0,Rockstar Games,TTWO,Bully,"2016, 3, 22",PlayStation 2 Originals on PlayStation 4,Rockstar Vancouver
3,Rockstar Games,TTWO,Grand Theft Auto V,"2015, 4, 14","Microsoft Windows, PlayStation 4, Xbox One, PlayStation 3, Xbox 360",Rockstar North / Rockstar San Diego / Rockstar Leeds / Rockstar Toronto / Rockstar New England / Rockstar London
6,Rockstar Games,TTWO,L.A. Noire,"2017, 11, 14","Nintendo Switch, PlayStation 4, Xbox One, Microsoft Windows, PlayStation 3, Xbox 360",Rockstar San Diego / Rockstar Toronto / Rockstar North / Rockstar Leeds / Virtuos
9,Rockstar Games,TTWO,Max Payne,"2016, 4, 22","PlayStation 2 Originals on PlayStation 4, Android, iOS, Xbox Originals on Xbox 360",Rockstar Canada
11,Rockstar Games,TTWO,Red Dead Redemption 2,"2019, 11, 19","Stadia, Microsoft Windows, PlayStation 4, Xbox One",Rockstar Studios
2,Electronic Arts,EA,Anthem,"2019, 2, 22","PlayStation 4, Windows, Xbox One",BioWare
3,Electronic Arts,EA,Apex Legends,"2019, 2, 4","PlayStation 4, Windows, Xbox One",Respawn Entertainment
4,Electronic Arts,EA,Battlefield 1,"2016, 10, 21","PlayStation 4, Windows, Xbox One",EA DICE
5,Electronic Arts,EA,Battlefield Hardline,"2015, 3, 17","PlayStation 3, PlayStation 4, Windows, Xbox 360, Xbox One",Visceral Games
6,Electronic Arts,EA,Battlefield V,"2018, 11, 20","PlayStation 4, Windows, Xbox One",EA DICE
9,Electronic Arts,EA,EA Sports UFC 2,"2016, 3, 15","PlayStation 4, Xbox One",EA Canada
10,Electronic Arts,EA,EA Sports UFC 3,"2018, 2, 2","PlayStation 4, Xbox One",EA Canada
11,Electronic Arts,EA,EA Sports UFC 4,"2020, 8, 14","PlayStation 4, Xbox One",EA Canada
12,Electronic Arts,EA,FIFA 16,"2015, 9, 22","Android, iOS, PlayStation 3, PlayStation 4, Windows, Xbox 360, Xbox One",EA Canada
13,Electronic Arts,EA,FIFA 17,"2016, 9, 27","PlayStation 3, PlayStation 4, Windows, Xbox 360, Xbox One",EA Vancouver / EA Bucharest
14,Electronic Arts,EA,FIFA 18,"2017, 9, 29","Nintendo Switch, PlayStation 3, PlayStation 4, Windows, Xbox 360, Xbox One",EA Vancouver / EA Romania
15,Electronic Arts,EA,FIFA 19,"2018, 9, 28","Nintendo Switch, PlayStation 3, PlayStation 4, Windows, Xbox 360, Xbox One",EA Vancouver / EA Romania
16,Electronic Arts,EA,FIFA 20,"2019, 9, 27","Nintendo Switch, PlayStation 4, Windows, Xbox One",EA Vancouver / EA Romania
17,Electronic Arts,EA,FIFA 21,"2020, 10, 9","Nintendo Switch, PlayStation 4, Windows, Xbox One, Xbox Series X/S, PlayStation 5",EA Vancouver / EA Romania
21,Electronic Arts,EA,Madden NFL 16,"2015, 8, 25","PlayStation 3, PlayStation 4, Xbox 360, Xbox One",EA Tiburon
22,Electronic Arts,EA,Madden NFL 17,"2016, 8, 23","PlayStation 3, PlayStation 4, Xbox 360, Xbox One",EA Tiburon
23,Electronic Arts,EA,Madden NFL 18,"2017, 8, 22","PlayStation 4, Xbox One",EA Tiburon
24,Electronic Arts,EA,Madden NFL 19,"2018, 8, 10","PlayStation 4, Windows, Xbox One",EA Tiburon
25,Electronic Arts,EA,Madden NFL 20,"2019, 8, 2","PlayStation 4, Xbox One, Windows",EA Tiburon
26,Electronic Arts,EA,Madden NFL 21,"2020, 8, 28","PlayStation 4, Stadia, Xbox One, Windows, Xbox Series X/S, PlayStation 5",EA Tiburon
27,Electronic Arts,EA,Mass Effect: Andromeda,"2017, 3, 21","PlayStation 4, Windows, Xbox One",BioWare
28,Electronic Arts,EA,Mirror's Edge Catalyst,"2016, 6, 7","PlayStation 4, Windows, Xbox One",EA DICE
32,Electronic Arts,EA,NHL 16,"2015, 9, 15","PlayStation 3, PlayStation 4, Xbox 360, Xbox One",EA Canada
33,Electronic Arts,EA,NHL 17,"2016, 9, 13","PlayStation 4, Xbox One",EA Canada
34,Electronic Arts,EA,NHL 18,"2017, 9, 15","PlayStation 4, Xbox One",EA Canada
35,Electronic Arts,EA,NHL 19,"2018, 9, 14","PlayStation 4, Xbox One",EA Vancouver
36,Electronic Arts,EA,NHL 20,"2019, 9, 13","PlayStation 4, Xbox One",EA Vancouver
37,Electronic Arts,EA,NHL 21,"2020, 10, 16","PlayStation 4, Xbox One",EA Vancouver
38,Electronic Arts,EA,Need for Speed,"2016, 3, 15","Windows, PlayStation 4, Xbox One",Ghost Games
39,Electronic Arts,EA,Need for Speed Heat,"2019, 11, 8","PlayStation 4, Windows, Xbox One",Ghost Games
40,Electronic Arts,EA,Need for Speed Payback,"2017, 11, 10","PlayStation 4, Windows, Xbox One",Ghost Games
41,Electronic Arts,EA,Need for Speed: Hot Pursuit Remastered,"2020, 11, 6","PlayStation 4, Windows, Xbox One, Nintendo Switch",Criterion Games
42,Electronic Arts,EA,Plants vs. Zombies: Battle for Neighborville,"2019, 10, 18","PlayStation 4, Windows, Xbox One",PopCap Games
43,Electronic Arts,EA,Plants vs. Zombies: Garden Warfare 2,"2016, 2, 23","PlayStation 4, Windows, Xbox One",PopCap Games
48,Electronic Arts,EA,Star Wars Battlefront,"2015, 11, 17","PlayStation 4, Windows, Xbox One",EA DICE
49,Electronic Arts,EA,Star Wars Battlefront II,"2017, 11, 17","PlayStation 4, Windows, Xbox One",EA DICE
50,Electronic Arts,EA,Star Wars Jedi: Fallen Order,"2019, 11, 15","PlayStation 4, Windows, Xbox One",Respawn Entertainment
51,Electronic Arts,EA,Star Wars: Squadrons,"2020, 10, 2","PlayStation 4, Xbox One, Windows",Motive Studios
52,Electronic Arts,EA,The Sims 4,"2017, 11, 14","PlayStation 4, Xbox One, Macintosh, Windows",Maxis
72,Electronic Arts,EA,Titanfall 2,"2016, 10, 28","PlayStation 4, Windows, Xbox One",Respawn Entertainment
